Time,ccAnacapaREL,ccBajaCalif,ccChannelABSOLUTE,ccSanMiguelREL,ccSantaCruzREL,ccSantaRosaREL,con,disaster,ElNinoEventThisYear,ElNinoModelMemoryEventLastYear,ElNinoProbability,FINAL TIME,"flow2-1","flow2-3","flow2-4","flow2-5","flow3-1","flow3-2","flow3-4","flow3-5","flow4-1","flow4-2","flow4-3","flow4-5","flow5-1","flow5-2","flow5-3","flow5-4",flowAlaska,flowChannelBypass,flowChannelIslands,flowHawaii,INITIAL TIME,LaNinaEventThisYear,LaNinaModelMemoryEventLastYear,LaNinaProbability,LogicalAndElNinoThisYearAndLastYear,LogicalAndLaNinaThisYearAndLastYear,"migrationBypass%",mixer2,mixer3,mixer4,mixer5,pop2Anacapa,pop3SantaCruz,pop4SantaRosa,pop5SanMiguel,popAlaska,popBajaCalif,SAVEPER,TIME STEP
38,100,5000,500,100,150,150,1,0,0,0,,,10.0878,0.720395,1.00484,0.680114,0,0,0,0,2.88707,0.840482,0.22197,0.724756,358.718,3.02273,12.8427,4.61907,4824.96,4940.13,59.8735,0,,0,0,,0,0,0.988025,,,,,110.088,149.817,152.887,458.718,5000,4824.96,1,
39,100,5000,500,100,150,150,1,0,0,0,,,1.45786,0.141205,0.844453,0.248737,13.6016,1.11391,0.473013,0.190871,3.8367,0.563245,0.11069,0.30669,40.7938,0.779965,2.45899,3.44079,5311.82,4829.84,170.161,311.819,,0,0,,0,0,0.965968,,,,,101.458,163.602,153.837,140.794,5000,5311.82,1,
40,100,5000,500,100,150,150,1,0,0,0,,,1.22273,0.554455,0.441601,0.527757,0.93309,0.592912,1.23507,0.577219,3.77763,1.28999,0.654411,1.3257,164.228,1.99996,2.65818,7.17619,4577.71,4631.84,368.156,0,,0,0,,0,0,0.926369,,,,,101.223,150.933,153.778,264.228,5000,4577.71,1,
41,100,5000,500,100,150,150,1,0,0,0,,,2.35905,0.18362,0.297859,0.358022,1.46185,0.893751,1.3877,0.358614,5.58275,0.58235,0.807062,0.707817,358.752,0.378971,0.676315,3.56829,4802.01,4605.34,394.661,0,,0,0,,0,0,0.921068,,,,,102.359,151.462,155.583,458.752,5000,4802.01,1,
42,100,5000,500,100,150,150,1,0,0,0,,,1.01557,0.635135,0.665513,0.614877,0,0,0,0,3.15662,1.12378,1.20603,1.30037,391.461,13.5103,12.1973,4.02025,4973.5,4644.93,355.069,0,,0,0,,0,0,0.928986,,,,,101.016,149.027,153.157,491.461,5000,4973.5,1,
43,100,5000,500,100,150,150,1,0,0,0,,,12.7186,0.613016,0.992334,1.04377,13.0654,0.458781,0.631566,0.0755788,1.05559,0.659609,0.142214,0.452007,327.257,4.33656,8.25068,7.5906,5040.56,4956.18,43.8207,40.5645,,0,0,,0,0,0.991236,,,,,112.719,163.065,151.056,427.257,5000,5040.56,1,
44,100,5000,500,100,150,150,1,0,0,0,,,2.80583,0.37658,0.986137,0.604857,7.83998,0.803397,0.0866937,1.07972,7.96066,0.310542,1.12118,0.877584,25.2143,1.11994,0.932185,3.72087,5269.71,4652.12,347.875,269.711,,0,0,,0,0,0.930425,,,,,102.806,157.84,157.961,125.214,5000,5269.71,1,
45,100,5000,500,100,150,150,1,0,0,0,,,0.266304,0.843261,0.233924,0.0631068,0.460129,0.254419,1.30729,0.786372,2.48439,0.848764,0.0560377,0.789005,344.664,8.49701,7.10319,6.15717,4426.23,4612.79,387.214,0,,0,0,,0,0,0.922557,,,,,100.266,150.46,152.484,444.664,5000,4426.23,1,
46,100,5000,500,100,150,150,1,0,0,0,,,8.4599,0.73263,0.646827,0.595179,5.6544,1.02368,0.685132,0.691991,6.00458,1.18917,0.680471,1.25363,367.095,8.56156,13.3472,4.65787,4960.66,4871.79,128.211,0,,0,0,,0,0,0.974358,,,,,108.46,155.654,156.005,467.095,5000,4960.66,1,
47,100,5000,500,100,150,150,1,0,0,0,,,8.79977,0.429475,0.216949,0.764943,12.3595,0.62441,0.53408,1.06604,2.86656,1.44233,0.440207,0.914416,104.185,3.1778,1.52911,2.71743,5259,4792.46,207.537,259.003,,0,0,,0,0,0.958493,,,,,108.8,162.359,152.867,204.185,5000,5259,1,
48,100,5000,500,100,150,150,1,0,0,0,,,3.83318,0.366666,0.614605,1.02703,0.174255,0.184151,0.272889,0.205797,0.671494,1.16583,1.23177,0.391239,202.858,5.99481,3.8421,4.02559,4661.67,4571.2,428.802,0,,0,0,,0,0,0.91424,,,,,103.833,150.174,150.671,302.858,5000,4661.67,1,
49,100,5000,500,100,150,150,1,0,0,0,,,5.33649,0.440612,0.279128,0.687242,4.77769,0.743428,0.051805,0.797345,2.12425,0.187158,0.806452,0.537225,416.564,3.66262,3.13226,5.72858,4778.73,4908.64,91.3641,0,,0,0,,0,0,0.981727,,,,,105.336,154.778,152.124,516.564,5000,4778.73,1,
