Time,ccAnacapaREL,ccBajaCalif,ccChannelABSOLUTE,ccSanMiguelREL,ccSantaCruzREL,ccSantaRosaREL,con,disaster,ElNinoEventThisYear,ElNinoModelMemoryEventLastYear,ElNinoProbability,FINAL TIME,"flow2-1","flow2-3","flow2-4","flow2-5","flow3-1","flow3-2","flow3-4","flow3-5","flow4-1","flow4-2","flow4-3","flow4-5","flow5-1","flow5-2","flow5-3","flow5-4",flowAlaska,flowChannelBypass,flowChannelIslands,flowHawaii,INITIAL TIME,LaNinaEventThisYear,LaNinaModelMemoryEventLastYear,LaNinaProbability,LogicalAndElNinoThisYearAndLastYear,LogicalAndLaNinaThisYearAndLastYear,"migrationBypass%",mixer2,mixer3,mixer4,mixer5,pop2Anacapa,pop3SantaCruz,pop4SantaRosa,pop5SanMiguel,popAlaska,popBajaCalif,SAVEPER,TIME STEP
50,100,5000,500,100,150,150,1,0,0,0,,,20.0362,0.662149,0.905065,0.629985,15.2324,1.54276,0.298929,0.464394,20.9934,0.586549,0.272561,0.970436,314.345,2.45241,4.7503,12.0667,4855.64,4513.16,486.842,0,,0,0,,0,0,0.902632,,,,,120.036,165.232,170.993,414.345,5000,4855.64,1,
51,100,5000,500,100,150,150,1,0,0,0,,,2.38451,0.919559,0.66548,0.506837,3.37892,1.01625,0.308284,1.51332,11.4411,0.571475,0.777471,0.14376,469.638,16.6726,8.5201,6.37662,4883.76,4828.63,171.371,0,,0,0,,0,0,0.965726,,,,,102.385,153.379,161.441,569.638,5000,4883.76,1,
52,150,7500,750,150,225,225,1.5,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,91.9651,5.02235,6.51366,3.94808,5315.47,4812.33,187.669,0,,0,0,,1,0,0.962466,,,,,116.168,157.379,155.858,241.965,5000,5315.47,1,
53,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,172.185,0.646704,1.70152,7.16397,4904.3,4806.86,193.141,0,,0,0,,1,0,0.961372,,,,,121.191,163.893,159.806,322.185,5000,4904.3,1,
54,100,5000,500,100,150,150,1,0,0,0,,,21.8375,1.17008,0.836158,0.813488,15.5945,0.364125,1.05335,0.775902,16.9697,1.59706,0.844088,0.160281,233.629,7.33935,5.87389,0.704886,4979.04,4525.63,474.374,0,,0,0,,0,0,0.905125,,,,,121.838,165.594,166.97,333.629,5000,4979.04,1,
55,100,5000,500,100,150,150,1,0,0,0,,,6.4808,0.503414,0.784847,0.967776,5.69467,1.11996,0.882114,1.21847,0,0,0,0,462.206,0.7757,8.77461,13.5921,4813.66,4903.68,96.3193,0,,0,0,,0,0,0.980736,,,,,106.481,155.695,149.993,562.206,5000,4813.66,1,
56,100,5000,500,100,150,150,1,0,0,0,,,0,0,0,0,6.05748,1.52687,0.369837,1.27992,15.252,0.374528,0.24476,1.22914,75.3632,2.45262,0.583695,0.566881,5378.06,4903.18,96.8245,378.062,,0,0,,0,0,0.980635,,,,,99.6396,156.057,165.252,175.363,5000,5378.06,1,
57,100,5000,500,100,150,150,1,0,0,0,,,3.99364,0.51664,0.181659,0.696693,0,0,0,0,0,0,0,0,95.7303,4.50385,4.19038,2.81698,4621.79,4871.21,128.792,0,,0,0,,0,0,0.974242,,,,,103.994,147.652,149.088,195.73,5000,4621.79,1,
58,100,5000,500,100,150,150,1,0,0,0,,,3.10886,0.619634,0.337298,0.302147,2.35884,0.224841,1.16671,0.856532,2.08693,0.0480029,0.789286,0.997846,117.977,3.41803,3.14566,5.88037,4970.93,4565.47,434.53,0,,0,0,,0,0,0.913094,,,,,103.109,152.359,152.087,217.977,5000,4970.93,1,
59,100,5000,500,100,150,150,1,0,0,0,,,2.43179,0.991071,0.451081,0.303678,2.30649,1.05299,1.31644,1.46304,5.54924,0.717234,0.270538,0.571526,424.242,11.4902,7.85618,5.261,4691,4613.91,386.089,0,,0,0,,0,0,0.922782,,,,,102.432,152.306,155.549,524.242,5000,4691,1,
60,150,7500,750,150,225,225,1.5,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,313.819,5.04758,5.14598,3.9955,5048.44,4909.09,90.9135,0,,0,0,,1,0,0.981817,,,,,111.515,155.285,155.469,463.819,5000,5048.44,1,
61,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,76.7244,6.68422,5.7295,1.85711,5222.91,4900.95,99.0468,0,,0,0,,1,0,0.980191,,,,,116.562,160.431,159.465,226.724,5000,5222.91,1,
62,100,5000,500,100,150,150,1,0,0,0,,,23.2464,0.496262,0.165582,0.0357489,16.1608,1.20575,1.49876,0.639133,11.3218,0.765091,1.57813,0.974707,134.776,5.57905,4.93671,0.801145,4977.68,4996.21,3.78966,0,,0,0,,0,0,0.999242,,,,,123.246,166.161,161.322,234.776,5000,4977.68,1,
63,100,5000,500,100,150,150,1,0,0,0,,,6.85229,0.693587,0.394361,0.783425,3.66747,1.14249,0.477822,1.52163,0,0,0,0,0,0,0,0,5181.72,4941.1,58.9031,181.715,,0,0,,0,0,0.988219,,,,,106.852,153.667,149.148,94.1223,5000,5181.72,1,
64,100,5000,500,100,150,150,1,0,0,0,,,0,0,0,0,0,0,0,0,0.0197296,1.29336,1.29479,1.04502,55.3305,1.71542,0.655124,3.94633,4769.9,4597.84,402.156,0,,0,0,,0,0,0.919569,,,,,99.2711,147.552,150.02,155.331,5000,4769.9,1,
65,100,5000,500,100,150,150,1,0,0,0,,,2.27989,0.156255,0.816062,0.223223,0,0,0,0,0.313171,0.99203,1.35247,1.30786,396.885,5.9791,8.66379,9.15938,4653.19,4897.53,102.466,0,,0,0,,0,0,0.979507,,,,,102.28,149.502,150.313,496.885,5000,4653.19,1,
66,150,7500,750,150,225,225,1.5,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,30.1952,4.07838,0.698698,3.7774,5297.01,4828.09,171.912,0,,0,0,,1,0,0.965618,,,,,105.776,159.674,156.323,180.195,5000,5297.01,1,
67,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,163.358,2.1596,4.53876,8.50975,4858.28,4737.7,262.301,0,,0,0,,1,0,0.94754,,,,,109.854,160.373,160.1,313.358,5000,4858.28,1,
68,150,7500,750,150,225,225,1.5,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,247.093,6.91001,5.12105,8.25765,4901.06,4504.21,495.793,0,,0,0,,1,0,0.900841,,,,,112.014,164.912,168.61,397.093,5000,4901.06,1,
69,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,475.504,16.6676,8.6857,8.6308,4751.3,4656.91,343.093,0,,0,0,,1,0,0.931381,,,,,118.924,170.033,176.868,625.504,5000,4751.3,1,
70,100,5000,500,100,150,150,1,0,0,0,,,35.5912,0.601473,0.305581,0.132473,28.7183,1.54126,1.61523,0.357127,35.4987,1.40611,0.577649,0.429721,359.109,9.50036,2.99482,5.60037,5132.41,4860.3,139.697,132.411,,0,0,,0,0,0.972061,,,,,135.591,178.718,185.499,459.109,5000,5132.41,1,
71,100,5000,500,100,150,150,1,0,0,0,,,11.4082,0.613749,0.529654,0.566184,0.660324,0.98473,1.00167,0.0302466,5.1077,0.994891,1.37366,0.946066,122.52,2.79038,5.3751,5.83446,5186.81,4828.19,171.805,186.81,,0,0,,0,0,0.965639,,,,,111.408,150.66,155.108,222.52,5000,5186.81,1,
72,100,5000,500,100,150,150,1,0,0,0,,,3.06041,0.740205,0.871065,0.616988,5.34587,0.774375,0.379366,1.31781,4.05116,0.931951,0.363458,1.15235,159.348,7.32178,7.12694,4.71652,4781.08,4584.5,415.497,0,,0,0,,0,0,0.916901,,,,,103.06,155.346,154.051,259.348,5000,4781.08,1,
73,100,5000,500,100,150,150,1,0,0,0,,,6.79985,0.196039,0.0730164,0.192031,5.75905,0.454724,0.435908,0.139475,3.5192,0.437492,0.488923,1.03086,399.418,5.9709,8.42039,11.2819,4756.31,4920.77,79.2342,0,,0,0,,0,0,0.984153,,,,,106.8,155.759,153.519,499.418,5000,4756.31,1,
74,100,5000,500,100,150,150,1,0,0,0,,,6.40202,1.04337,0.325386,0.173947,8.07524,0.442428,1.55137,1.51509,9.83356,1.30176,0.905607,1.42719,54.9234,0.49476,3.87266,3.00781,5336.26,4727.36,272.638,336.262,,0,0,,0,0,0.945472,,,,,106.402,158.075,159.834,154.923,5000,5336.26,1,
75,150,7500,750,150,225,225,1.5,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,218.379,7.40893,8.86834,9.21926,4470.33,4938.8,61.1976,0,,0,0,,1,0,0.98776,,,,,100.696,152.313,151.25,368.379,5000,4470.33,1,
76,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,35.701,0.240836,1.10468,1.06056,5157.18,4987.14,12.8618,0,,0,0,,1,0,0.997428,,,,,108.105,161.181,160.469,185.701,5000,5157.18,1,
77,100,5000,500,100,150,150,1,0,0,0,,,8.34602,0.943842,0.641463,0.0141444,12.2858,0.483601,1.06296,1.15769,11.5298,1.43043,0.114842,0.60096,60.4557,2.8001,3.84241,1.3474,5022.84,4604.32,395.676,22.8394,,0,0,,0,0,0.920865,,,,,108.346,162.286,161.53,160.456,5000,5022.84,1,
78,100,5000,500,100,150,150,1,0,0,0,,,3.11468,0.446234,0.221692,0.614048,2.19684,1.14931,1.13801,1.37921,0.905594,0.748913,1.27559,0.375608,389.458,12.0744,1.30416,1.637,4674.1,4750.82,249.18,0,,0,0,,0,0,0.950164,,,,,103.115,152.197,150.906,489.458,5000,4674.1,1,
79,100,5000,500,100,150,150,1,0,0,0,,,12.6906,1.11173,0.911343,0.181738,0,0,0,0,0.596603,0.601251,1.32481,1.27138,236.533,3.743,6.19174,2.97307,5146.5,4581.32,418.676,146.496,,0,0,,0,0,0.916265,,,,,112.691,149.359,150.597,336.533,5000,5146.5,1,
